id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1049066908406183162,Cozy Inner City Townhouse Escape,43231799,Amy,,Melbourne,-37.792107969988095,144.9210065095032,Entire home/apt,104,5,5,2024-03-11,3.85,1,215,5,
25184109,Beautiful Private Room in Box Hill Central - 靚房出租,163778118,Ben,,Whitehorse,-37.81984,145.1141,Private room,150,1,0,,,9,90,0,
13133187,"Quiet, private room in contemporary house",73152703,Mark,,Yarra,-37.77863,144.98085,Private room,75,1,100,2024-03-02,1.08,2,233,15,
877098606068989559,Duo - The White House Fitzroy,497323312,Short Term Accommodation Management,,Yarra,-37.80064217508397,144.9747681480826,Entire home/apt,175,2,19,2024-01-27,1.75,4,13,19,
1037445911198691155,Bik lane art stay,1484059,Janeene,,Yarra,-37.78482,144.97691,Private room,299,5,0,,,1,27,0,
40824426,Clean and quiet place to stay.,210483034,Israel,,Brimbank,-37.78266,144.76474,Entire home/apt,,1,0,,,1,0,0,
41221354,Light filled private bedroom in Fairfield,23507111,Chris,,Darebin,-37.77176,145.02007,Private room,,2,2,2020-02-13,0.04,1,0,0,
41918727,Master Room on Birdwood,59145928,Maggie,,Whitehorse,-37.833,145.12654,Private room,,2,2,2020-02-17,0.04,1,0,0,
20779222,Peaceful environment,145778952,Eric,,Maribyrnong,-37.78862,144.889,Private room,,1,0,,,1,0,0,
22441006,Shred room in the heart of the city,164341591,Jhonathan,,Melbourne,-37.8104,144.97036,Shared room,,25,0,,,1,0,0,
557447854994580978,3B1Bath Family Love Comfortable Apt@Burwood,142325689,Domo,,Whitehorse,-37.85197,145.12399,Entire home/apt,,14,2,2022-05-08,0.08,28,0,0,
740179558793290265,"A Cozy, renovated 1 bedroom (close to the beach)",52131484,Naman,,Glen Eira,-37.9022,145.04864,Private room,55,2,11,2024-03-13,0.68,1,355,6,
1111878323801892535,1 bedroom apartment in St Kilda,511291659,Danielle,,Port Phillip,-37.859144,144.9761879,Entire home/apt,100,1,0,,,1,257,0,
1112540948835623342,Great 1 bedroom in St Kilda,258515367,Ofir,,Port Phillip,-37.85757,144.98375,Entire home/apt,228,1,0,,,2,84,0,
12765759,Aquila Nova Retreat - Luna Spa Suite,66261359,Alex,,Yarra Ranges,-37.88216,145.38982,Entire home/apt,489,1,49,2024-01-25,0.54,4,361,10,
10707631,"Great backyard, great kitchen house",55328527,Silvio,,Frankston,-38.14613,145.16211,Entire home/apt,,1,0,,,1,0,0,
30349884,lovely single room,159144309,Betty,,Glen Eira,-37.90208,145.04413,Private room,,1,1,2018-12-04,0.02,1,0,0,
4570679,Central CBD One Bedroom Apartment,14059214,Alice,,Melbourne,-37.81731,144.96742,Entire home/apt,,2,236,2019-03-27,2.09,3,0,0,
4476978,Luxury Inner City Beach House,23229004,Stephanie,,Port Phillip,-37.85215,144.9663,Entire home/apt,,7,5,2017-01-10,0.04,1,0,0,
1084488236663871973,The Northside Getaway,407407673,Gillian,,Melbourne,-37.797,144.94391,Entire home/apt,120,1,0,,,2,202,0,
819971810943540527,Armadale Townhouse,499607671,Eliza,,Stonnington,-37.8566707,145.0185908,Entire home/apt,205,2,4,2023-09-17,0.34,1,350,4,
617935317091879465,Comfort Urban Lifestyle - Studio by QV Market,22860147,Adji,,Melbourne,-37.80925,144.95906,Entire home/apt,171,5,19,2024-02-10,1.26,105,0,15,
2764463,Quiet. Central. Easy living.,1806771,Lyn,,Yarra,-37.78686,145.00156,Entire home/apt,,10,1,2018-04-13,0.01,1,0,0,
10995123,Awesome house,4341691,Anthony,,Melbourne,-37.80141,144.96326,Private room,,1,2,2016-02-22,0.02,1,0,0,
52782452,Bright bayside 1-bedroom apartment,378163880,Arija,,Bayside,-37.95317,145.00712,Entire home/apt,,3,12,2022-03-18,0.41,1,0,0,
6799878,Comfortable Spacious Elwood Living,35595639,Miles,,Port Phillip,-37.87409,144.9887,Private room,,2,0,,,1,0,0,
860581011473148833,Private room with gym and pool,482839213,Greg,,Wyndham,-37.89315,144.59253,Private room,99,1,0,,,1,365,0,
11343570,Awesome room  in Box Hill,24347000,Lauren,,Whitehorse,-37.81544,145.12447,Private room,110,1,0,,,1,365,0,
12598167,City and Peninsula Comfort.,68355348,Wendy,,Kingston,-38.00224,145.0946,Entire home/apt,250,2,0,,,1,46,0,
1014928804716289765,Cute 1 bedroom apartment,81641044,Jessica,,Boroondara,-37.82847,145.04409,Entire home/apt,121,1,0,,,1,50,0,
10996872,Heart of St Kilda ❤️ Beautiful Fully Furnished,57062885,Simona,,Port Phillip,-37.85699,144.98435,Entire home/apt,151,7,58,2024-01-24,0.61,2,34,6,
1008230185514675037,Vignacourt  Mension Stay,17898106,Chelo,,Yarra,-37.82183098700812,144.99386986520003,Private room,278,1,0,,,5,269,0,
251965,Private room in Elwood,725136,Nathan,,Port Phillip,-37.87833,144.98824,Entire home/apt,,1,0,,,1,0,0,
877027675141200233,Large 1 bedroom apartment,98323983,Warwick,,Glen Eira,-37.867098877595815,145.01488362832444,Entire home/apt,279,1,0,,,2,360,0,
1063465010136472803,2 Bedroom  House Thornbury,482857835,Emily,,Darebin,-37.75464,144.99649,Entire home/apt,175,1,4,2024-02-25,2.11,16,96,4,
30571311,Victoria Gardens.,229346630,Sangmi,,Yarra,-37.81162,145.01267,Private room,,1,0,,,1,0,0,
40217682,Tidy apartment with an amazing view to Melbourne,96611642,Cristina,,Moreland,-37.75592,144.97688,Private room,,1,5,2020-01-14,0.10,1,0,0,
1109832319818774623,"Large One Bedroom Apt, Melb CBD",566465634,Damien,,Melbourne,-37.8155474830768,144.95948230096158,Entire home/apt,448,1,0,,,7,323,0,
53797811,1 Bedroom,21016606,Sofie,,Boroondara,-37.80555,145.09184,Private room,,3,0,,,1,0,0,
40743485,Pelicans,18445503,Alissa And Graeme,,Hobsons Bay,-37.85865,144.90022,Entire home/apt,235,2,67,2024-03-02,1.62,1,343,17,
1081660593094649315,Roc - Light Bright Home,78561414,Karen,,Hume,-37.53019438443232,144.906857947749,Entire home/apt,284,2,3,2024-03-03,2.73,5,76,3,
1102602026475985377,CosyCottage@huntlylodge,556200585,Olivia,,Hume,-37.54961309232698,144.75860327482224,Entire home/apt,200,1,0,,,2,359,0,
990731488483304793,Summer vibes - walk to the beach,36909259,Catalina,,Kingston,-38.0360610699606,145.10700028676703,Entire home/apt,144,4,0,,,1,63,0,
1109011629359572198,Eat sleep fun repeat,474298733,Jagpreet,,Monash,-37.89086739012449,145.0893701709769,Private room,120,1,0,,,1,269,0,
986755879804936456,Room for rent,538512305,Pushpika,,Casey,-38.12484301043991,145.35975170293315,Private room,61,1,12,2024-03-03,2.16,1,202,12,
735262478491424278,Lovely 1 bedroom unit with private parking.,27516070,Melissa,,Port Phillip,-37.85998,144.99876,Entire home/apt,150,2,4,2022-12-31,0.24,2,360,0,
1026443394240724390,Brighton-Short term Unfurnished,46203203,Gaurav,,Bayside,-37.91646,145.0026,Entire home/apt,180,1,0,,,2,72,0,
54265137,A budget cosy small room in a good location,2255480,Jessica,,Boroondara,-37.79556,145.07957,Private room,50,1,24,2024-02-24,0.92,9,264,16,
798689948828211866,U5R4 Private room in a charming 5 bedrooms house,485621814,Kbn,,Brimbank,-37.7746393,144.7689483,Private room,57,1,8,2023-11-25,0.56,45,365,3,
1057566855346949573,Art Deco apartment on the beach!,105771596,Gidi,,Port Phillip,-37.87959480000001,144.9777396,Entire home/apt,320,3,0,,,1,254,0,
1095826624642769312,Nice home for nice guests,327258176,Hassan,,Melbourne,-37.82413619176208,144.96180688527102,Entire home/apt,209,1,0,,,1,258,0,
838531677371153694,Room D Mitcham station Double bedroom shared bath,326105168,Tony,,Whitehorse,-37.81817,145.1926,Private room,93,2,0,,,10,365,0,
4967061,Comfy sanctuary in a dynamic suburb,6216277,Lach,,Moreland,-37.76166,144.96901,Private room,,3,4,2015-03-17,0.04,1,0,0,
6240973,Emerald Carriages,32396585,Rob And Kim,,Cardinia,-37.92301,145.44269,Private room,,1,0,,,1,0,0,
5982863,2BD/2BTH close to CBD with parking,1456773,Yvette,,Melbourne,-37.79427,144.93256,Entire home/apt,,4,9,2020-02-02,0.09,1,0,0,
8490850,North Melbourne Townhouse,6691958,Ilana,,Melbourne,-37.80093,144.94468,Entire home/apt,,7,0,,,1,0,0,
1051979185671682044,4BR Family Fun with Ping Pong,9910955,Lindsey,,Knox,-37.8529963368374,145.28814788052446,Entire home/apt,403,5,2,2024-02-11,1.33,2,156,2,
42138945,Modern Melbourne getaway,184513340,Cass,,Glen Eira,-37.88026,145.00441,Private room,165,1,0,,,1,180,0,
53883612,Lovely 2-bedroom unit near City,47761077,Cyndi,,Melbourne,-37.80904,144.95027,Entire home/apt,,3,0,,,1,0,0,
18494134,Renovated House in Popular Seddon 5km from CBD,126345887,Donald,,Maribyrnong,-37.80232,144.88853,Entire home/apt,,3,5,2017-08-13,0.06,1,0,0,
22867963,Home away from home,16761708,Ricky,,Stonnington,-37.84042,144.98678,Entire home/apt,,2,1,2018-04-05,0.01,1,0,0,
25002635,Omor Faroq,153066539,Omor,,Whittlesea,-37.67922,145.05809,Private room,,5,0,,,1,0,0,
1066322745591936740,Nestled in quiet neighbourhood,25179742,Helia,,Manningham,-37.78003,145.10738,Entire home/apt,3571,1,0,,,1,269,0,
823291025075890398,Simply Superb Melb Living,38915035,Ash,,Melbourne,-37.81524962641683,144.98804268345518,Entire home/apt,,365,5,2023-07-30,0.42,1,360,5,
896043680886755133,2 bed 2 bath - great for family!,144599553,Tanakrit,,Melbourne,-37.80659591736613,144.96306940534956,Entire home/apt,,1,5,2023-08-20,0.56,1,0,5,
1040236356214359035,Glen Waverley,365556,Rebecca,,Monash,-37.89202236518222,145.15782807344797,Private room,,1,4,2024-03-09,1.25,1,0,4,
572672254954081973,Armadale Elegance,17634490,Property Mums,,Stonnington,-37.85874,145.01827,Entire home/apt,968,2,15,2024-01-14,0.63,42,108,7,
591516696498366045,Family-friendly modern suburban home,451421117,Rebekah,,Maroondah,-37.77103,145.2815,Entire home/apt,,2,37,2024-01-21,1.56,2,0,3,
12113924,Inner city gem,60848508,John,,Yarra,-37.800162,144.9947976,Entire home/apt,512,2,0,,,1,73,0,
932804982931905474,Private Villa Near Train Station,524948025,Melbourne,,Moreland,-37.71737546937245,144.9214708408969,Entire home/apt,128,10,8,2023-12-03,1.05,1,355,8,
1093357105981633867,Mulgrave - Old Host New House,22485838,Herman,,Monash,-37.929078660753206,145.16187478040334,Private room,62,1,0,,,1,160,0,
1079480403868955173,Romantic Retreat in the Dandenong Mountains,268938119,Lavanya & Chandana,,Yarra Ranges,-37.814954374244536,145.36618724478737,Entire home/apt,220,2,3,2024-03-10,2.81,2,262,3,
865636868442173023,Fernhill Retreat,43729875,Roger,,Bayside,-37.951717504987705,145.0075813382864,Entire home/apt,231,2,19,2024-02-22,1.95,1,140,19,
957555799780729571,Ricky’s place 2404,531715819,Ruiqi,,Port Phillip,-37.82962,144.94708,Entire home/apt,575,1,2,2023-09-25,0.32,1,263,2,
16180311,Southbank Balcony Stay across from Crown with Pool,431039793,Yudo,,Melbourne,-37.82688,144.95708,Entire home/apt,208,2,89,2024-02-19,1.02,48,289,17,
53098123,Stringy Brae,232828976,Mel,,Yarra Ranges,-37.74756,145.41503,Entire home/apt,600,1,38,2023-12-29,1.42,1,322,7,
8506124,Unilodge College House,44791043,Xiao,,Melbourne,-37.8042,144.96308,Private room,,1,0,,,1,0,0,
16744005,Light filled spacious apartment close to the city,33082075,Gina,,Stonnington,-37.84651,145.0023,Private room,,1,3,2017-04-02,0.03,1,0,0,
901775393391121487,Single Room in the hearth of Carlton,90729398,Flexistayz,,Melbourne,-37.801684146583675,144.96819299025844,Private room,56,7,0,,,339,80,0,
19999362,Brunswick West Boheme,141916394,Adam,,Moreland,-37.76979,144.93896,Private room,,1,22,2018-05-04,0.27,1,0,0,
40770518,"Funky, art-inspired, SC getaway | Leafy location",105241178,Carmel,,Cardinia,-37.92171,145.4562,Entire home/apt,215,1,33,2023-12-17,0.65,1,326,3,
22736872,Melbourne CBD FEMALE ONLY,167863828,Yae,,Melbourne,-37.81633,144.96441,Private room,,1,7,2018-02-08,0.09,1,0,0,
25439181,Private Room with own Bathroom,192030678,Shawn,,Melbourne,-37.80806,144.96102,Private room,,1,0,,,1,0,0,
46730835,Cosy unit,48719537,Sam,,Whittlesea,-37.67438,145.05592,Entire home/apt,,5,0,,,2,0,0,
1071514230208465058,Private room & bathroom,557199312,Soh,,Whittlesea,-37.6734772,145.0249165,Private room,,1,7,2024-02-29,3.75,1,0,7,
1017745101709182780,Quiet flat next to Brunswick,70279667,Jasmin,,Melbourne,-37.78002499999999,144.9593337,Private room,,16,1,2024-01-09,0.43,1,0,1,
1083191252147205536,2bedrooms apt mel city wParking,163554327,Steven,,Melbourne,-37.81071,144.96739,Entire home/apt,234,1,0,,,7,13,0,
763499420147187489,Crown Room in Manor lakes :,488268467,Ayshmin,,Wyndham,-37.86491,144.59652,Shared room,68,1,0,,,1,364,0,
622143664292140896,Cheerful three-bedroom house with carport parking,271224510,Richard,,Manningham,-37.77592,145.10431,Private room,46,1,34,2024-01-02,1.90,1,356,18,
927951818227151192,Quiet light filled space,78703032,Susie,,Maribyrnong,-37.78901806141915,144.8878457929612,Private room,141,5,0,,,1,87,0,
46613634,Country breeze,89783929,Anne,,Knox,-37.93827,145.25161,Private room,69,3,2,2023-01-21,0.08,4,177,0,
1086373707237525120,Exclusive Stays - SB Grand III,10190138,Tony,,Melbourne,-37.82304177816815,144.9639805796047,Entire home/apt,486,1,0,,,68,46,0,
818413435957581525,"CHIC room FREE breakfast, awesome location",82003775,Christina,,Glen Eira,-37.92648018344565,145.07300883243576,Private room,119,1,0,,,2,363,0,
1031578148967360985,Room in glenroy.  Airport 10 min,293570519,Vyom,,Moreland,-37.70653189917867,144.92184993932656,Private room,50,1,17,2024-03-07,4.77,2,77,17,
10970191,Exclusive Stays - The Century,10190138,Tony,,Melbourne,-37.82272720336914,144.9663543701172,Entire home/apt,,1,46,2020-01-25,0.47,68,0,0,
598396865602062467,Exquisite and warm 1BR nest in Footscray Pool Gym,412803321,Fresh Onn,,Maribyrnong,-37.80072,144.90719,Entire home/apt,141,2,28,2024-02-12,1.32,78,74,10,
1033635926940934048,Serene Zen Escape in Vibrant Melbourne,87876780,Tamir,,Stonnington,-37.856146776706204,144.99804290325065,Entire home/apt,266,2,5,2024-02-18,1.88,26,170,5,
10274723,高层景观房,52838432,Jackson,,Moonee Valley,-37.78584,144.93977,Private room,,1,1,2016-05-24,0.01,1,0,0,
36048337,Mixed bedroom for share next to Central station #1,106356550,Ryan,,Melbourne,-37.80948,144.96424,Shared room,,1,25,2019-09-20,0.43,2,0,0,
1090576263546731807,Smart Stay - Super Location,60311641,Brad,,Stonnington,-37.83682237214772,144.99751556606586,Entire home/apt,191,5,1,2024-02-25,1,1,240,1,
9049524,Melbourne CBD 1BR Apt,32316995,Yong,,Melbourne,-37.8144,144.95752,Entire home/apt,176,3,412,2024-02-24,4.04,15,158,41,
9713831,Central South Melbourne Apartment,50147877,Kelly,,Port Phillip,-37.83181,144.96707,Entire home/apt,,1,0,,,1,0,0,
4988410,Private Room in Abbotsford,25718404,Andy,,Yarra,-37.80503,144.99478,Private room,,1,0,,,1,0,0,
990098493637420615,"20min CBD,NGV,ArtsCentre & Anzac",51449258,Paulo,,Melbourne,-37.82892210884249,144.96727561363227,Entire home/apt,148,2,18,2024-03-16,3.20,1,163,18,
569523716430274676,Selina Central Melbourne - Family Room,443282341,Selina,,Melbourne,-37.8167,144.96535,Private room,637,1,7,2023-12-30,0.29,10,300,2,
10312472,"Modern, spacious 1 bed (queen) apt.",41899250,Adelle,,Boroondara,-37.82933,145.03849,Entire home/apt,,5,0,,,1,0,0,
1936710,Private room in Heritage Building,2812963,Medley,,Melbourne,-37.80673,144.96693,Private room,,3,9,2018-12-01,0.07,5,0,0,
1076370781858572759,Crown Casino Experience & MCEC,72201704,Ben,,Melbourne,-37.8262325,144.9590025,Entire home/apt,300,1,2,2024-02-20,2,11,266,2,
1100387791970712016,Room in Werribee,422489303,Larissa,,Wyndham,-37.90183551090622,144.653755737248,Private room,81,1,0,,,1,264,0,
